tactic_id,technique_id,id2
5,476,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580
4,481,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d
12,481,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d
2,483,attack-pattern--4fe28b27-b13c-453e-a386-c2ef362a573b
2,484,attack-pattern--731f4f55-b6d0-41d1-a7a9-072a66389aea
5,489,attack-pattern--c32f7008-9fea-41f7-8366-5eb9b74bd896
4,499,attack-pattern--4933e63b-9b77-476e-ab29-761bc5b7d15a
2,506,attack-pattern--4061e78c-1284-44b4-9116-73e4ac3912f7
10,511,attack-pattern--5b0ad6f8-6a16-4966-a4ef-d09ea6e2a9f5
10,512,attack-pattern--54a649ff-439a-41a4-9856-8d144a2551ba
5,513,attack-pattern--e358d692-23c0-4a31-9eb6-ecc13a8d7735
10,515,attack-pattern--3b744087-9945-4a6f-91e8-9dbceda417a4
9,515,attack-pattern--3b744087-9945-4a6f-91e8-9dbceda417a4
8,517,attack-pattern--cd25c1b4-935c-4f0e-ba8d-552f28bc4783
4,521,attack-pattern--564998d8-ab3e-4123-93fb-eccaa6b9714a
4,522,attack-pattern--0f20e3cb-245b-4a61-8a91-2d93f7cb0e9b
6,544,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
11,544,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
12,544,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
7,545,attack-pattern--4eeaf8a9-c86b-4954-a663-9555fb406466
1,546,attack-pattern--0259baeb-9f63-4c69-bf10-eb038c390688
13,550,attack-pattern--a51eb150-93b1-484b-a503-e51453b127a4
13,552,attack-pattern--55fc4df0-b42c-479a-b860-7a6761bcaad0
13,553,attack-pattern--a0e6614a-7740-4b24-bd65-f1bde09fc365
13,554,attack-pattern--16cdd21f-da65-4e4f-bc04-dd7d198c7b26
11,564,attack-pattern--d456de47-a16f-4e46-8980-e67478a12dcb
8,569,attack-pattern--20fb2507-d71c-455d-9b6d-6104461cf26b
6,574,attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65
4,579,attack-pattern--457c7820-d331-465a-915e-42f85500ccc4
4,580,attack-pattern--f6fe9070-7a65-49ea-ae72-76292f42cebe
6,586,attack-pattern--92a78814-b191-47ca-909c-1ccfe3777414
10,586,attack-pattern--92a78814-b191-47ca-909c-1ccfe3777414
5,587,attack-pattern--e3b6daca-e963-4a69-aee6-ed4fd653ad58
14,602,attack-pattern--84771bc3-f6a0-403e-b144-01af70e5fda0
3,607,attack-pattern--890c9858-598c-401d-a4d5-c67ebcdd703a
3,608,attack-pattern--10ffac09-e42d-4f56-ab20-db94c67d76ff
3,609,attack-pattern--3fc01293-ef5e-41c6-86ce-61f10706b64a
4,614,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
9,618,attack-pattern--3f18edba-28f4-4bb9-82c3-8aa60dcac5f7
5,623,attack-pattern--354a7f88-63fb-41b5-a801-ce3b377b36f1
5,625,attack-pattern--c877e33f-1df6-40d6-b1e7-ce70f16f4979
5,626,attack-pattern--707399d6-ab3e-4963-9315-d9d3818cd6a0
5,627,attack-pattern--7e150503-88e7-4861-866b-ff1ac82c4475
5,628,attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104
5,629,attack-pattern--322bad5a-1c49-4d23-ab79-76d641794afa
6,630,attack-pattern--d157f9d2-d09a-4efa-bb2a-64963f94e253
8,631,attack-pattern--ff73aa03-0090-4464-83ac-f89e233c02bc
5,632,attack-pattern--f3c544dc-673c-4ef3-accb-53229f1ae077
10,637,attack-pattern--246fd3c7-f5e3-466d-8787-4c13d9e3b61c
4,638,attack-pattern--dc31fe1e-d722-49da-8f5f-92c7b5aff534
4,650,attack-pattern--451a9977-d255-43c9-b431-66de80130c8c
11,650,attack-pattern--451a9977-d255-43c9-b431-66de80130c8c
2,650,attack-pattern--451a9977-d255-43c9-b431-66de80130c8c
7,651,attack-pattern--d4bdbdea-eaec-4071-b4f9-5105e12ea4b6
4,657,attack-pattern--ff25900d-76d5-449b-a351-8824e62fc81b
9,658,attack-pattern--9fa07bef-9c81-421e-a8e5-ad4366c5a925
3,659,attack-pattern--dd43c543-bb85-4a6f-aa6e-160d90d06a49
3,663,attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517
4,664,attack-pattern--59bd0dec-f8b2-4b9a-9141-37a1e6899761
4,667,attack-pattern--51a14c76-dd3b-440b-9c20-2bf91d25a814
10,667,attack-pattern--51a14c76-dd3b-440b-9c20-2bf91d25a814
6,669,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
4,673,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
11,673,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
12,673,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
9,673,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
1,675,attack-pattern--6faf650d-bf31-4eb4-802d-1000cf38efaf
4,678,attack-pattern--82caa33e-d11a-433a-94ea-9b5a5fbef81d
5,678,attack-pattern--82caa33e-d11a-433a-94ea-9b5a5fbef81d
4,683,attack-pattern--1f9012ef-1e10-4e48-915e-e03563435fe8
2,687,attack-pattern--830c9528-df21-472c-8c14-a036bf17d665
6,698,attack-pattern--01a5a209-b94c-450b-b7f9-946497d91055
4,707,attack-pattern--ebbe170d-aa74-4946-8511-9921243415a3
